imc0 acrate0
imc1 acrate0.583333
imc2 acrate0.526667
imc3 acrate0.492222
imc4 acrate0.470833
imc5 acrate0.45
imc6 acrate0.43
imc7 acrate0.420952
imc8 acrate0.41
imc9 acrate0.398519
imc10 acrate0.388333
imc11 acrate0.383333
imc12 acrate0.383333
imc13 acrate0.378205
imc14 acrate0.374286
imc15 acrate0.369778
imc16 acrate0.366667
imc17 acrate0.36549
imc18 acrate0.367778
imc19 acrate0.37
imc20 acrate0.372167
imc21 acrate0.373968
imc22 acrate0.376061
imc23 acrate0.378406
imc24 acrate0.380139
imc25 acrate0.3844
imc26 acrate0.386795
imc27 acrate0.389259
imc28 acrate0.392143
imc29 acrate0.393678
imc30 acrate0.395333
imc31 acrate0.398172
imc32 acrate0.400521
imc33 acrate0.403434
imc34 acrate0.404804
imc35 acrate0.406571
imc36 acrate0.408796
imc37 acrate0.41045
imc38 acrate0.411228
imc39 acrate0.412991
imc40 acrate0.413
imc41 acrate0.412358
imc42 acrate0.411905
imc43 acrate0.412403
imc44 acrate0.411894
imc45 acrate0.41163
imc46 acrate0.412609
imc47 acrate0.412979
imc48 acrate0.412847
imc49 acrate0.412585
imc50 acrate0.4118
imc51 acrate0.41098
imc52 acrate0.411603
imc53 acrate0.411069
imc54 acrate0.410926
imc55 acrate0.410727
imc56 acrate0.409762
imc57 acrate0.409591
imc58 acrate0.408563
imc59 acrate0.408023
imc60 acrate0.406667
imc61 acrate0.405628
imc62 acrate0.405
imc63 acrate0.403228
imc64 acrate0.402031
imc65 acrate0.400513
imc66 acrate0.398737
imc67 acrate0.398557
imc68 acrate0.398676
imc69 acrate0.397729
imc70 acrate0.39819
imc71 acrate0.397371
imc72 acrate0.397037
imc73 acrate0.396347
imc74 acrate0.395991
imc75 acrate0.395644
imc76 acrate0.395132
imc77 acrate0.394502
imc78 acrate0.393932
imc79 acrate0.393249
imc80 acrate0.392667
imc81 acrate0.39251
imc82 acrate0.392154
imc83 acrate0.391888
imc84 acrate0.391349
imc85 acrate0.391255
imc86 acrate0.391318
imc87 acrate0.391379
imc88 acrate0.39125
imc89 acrate0.390712
imc90 acrate0.391074
imc91 acrate0.391502
imc92 acrate0.39192
imc93 acrate0.391756
imc94 acrate0.391844
imc95 acrate0.391895
imc96 acrate0.392222
imc97 acrate0.392199
imc98 acrate0.392517
imc99 acrate0.39266
imc100 acrate0.3933
imc101 acrate0.393597
imc102 acrate0.393725
imc103 acrate0.393851
imc104 acrate0.394359
imc105 acrate0.395238
imc106 acrate0.395535
imc107 acrate0.396044
imc108 acrate0.396111
imc109 acrate0.396514
